open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1704067200000,42274.27,42538.32,42255.49,42409.47,21.87362,1704068999999,928117.6414693,529,15.2737,648026.0747532,0
1704069000000,42397.18,42481.42,42344.56,42465.4,9.44632,1704070799999,400649.7690886,226,4.41992,187436.3379816,0
1704070800000,42455.15,42501.37,42418.66,42481.65,11.54928,1704072599999,490390.7938774,260,6.29676,267319.2496482,0
1704072600000,42481.65,42757.7,42481.65,42590.84,35.6589,1704074399999,1521433.3107982,680,22.30454,951598.9955963,0
1704074400000,42593.87,42618.7,42517.85,42533.7,12.284,1704076199999,522728.3234169,242,5.73013,243816.8575016,0
1704076200000,42533.69,42598.21,42494.1,42571.25,11.57062,1704077999999,492296.6028668,264,7.45685,317231.9438623,0
1704078000000,42571.16,42579.8,42416.79,42429.5,11.83982,1704079799999,503250.0992461,255,5.41617,230185.0240107,0
1704079800000,42425.71,42449.81,42237.91,42330.21,19.75658,1704081599999,836389.2343067,391,9.42578,398922.871101,0
1704081600000,42323.49,42372.79,42205.14,42297.43,13.98676,1704083399999,591598.8776667,320,7.11221,300837.0864977,0
1704083400000,42303.85,42396.63,42278.15,42384.81,9.88651,1704085199999,418516.1063805,292,5.70327,241437.0813557,0
1704085200000,42392.94,42402.42,42291.03,42291.03,8.50821,1704086999999,360267.3075223,228,3.26965,138427.3377676,0
1704087000000,42291.03,42318.57,42181.24,42233.83,10.3469,1704088799999,437277.8851396,384,6.76216,285769.9065162,0
1704088800000,42233.73,42344.0,42206.92,42317.8,10.21409,1704090599999,431923.1260489,257,5.28124,223301.5125641,0
1704090600000,42318.44,42423.38,42311.26,42397.71,11.64071,1704092399999,493203.5342878,303,5.47317,231853.028096,0
1704092400000,42394.29,42495.19,42394.29,42487.67,16.5356,1704094199999,701981.1889012,366,8.0096,339955.1573139,0
1704094200000,42490.18,42499.92,42431.92,42485.05,8.87913,1704095999999,377148.6543718,351,3.03224,128777.2157329,0
1704096000000,42491.52,42532.53,42451.53,42474.33,8.28774,1704097799999,352194.2963978,261,4.83722,205519.9266758,0
1704097800000,42479.42,42551.93,42457.19,42545.44,6.23546,1704099599999,265018.1134001,233,3.30348,140374.4595299,0
1704099600000,42545.44,42653.98,42530.22,42586.14,9.03037,1704101399999,384560.1459268,308,4.91845,209436.0619503,0
1704101400000,42583.84,42688.77,42583.84,42643.44,14.88418,1704103199999,634687.1842352,412,9.35898,399054.8582821,0
1704103200000,42643.44,42708.42,42624.9,42662.08,11.97549,1704104999999,510881.5730073,368,6.48113,276488.588876,0
1704105000000,42662.09,42745.53,42662.08,42690.78,12.64129,1704106799999,539873.7032725,317,6.5879,281303.1590261,0
1704106800000,42680.23,42757.96,42647.83,42680.93,13.3749,1704108599999,571196.8317158,354,9.14681,390632.7203177,0
1704108600000,42672.81,42696.31,42602.01,42685.18,13.45587,1704110399999,573877.7774383,386,5.01624,213874.628676,0
1704110400000,42685.19,42731.8,42612.53,42680.62,14.31458,1704112199999,610671.9817513,421,7.48181,319137.5163917,0
