1729987200000,67018.00000000,67044.00000000,66930.85000000,66990.25000000,11.52586000,1729988999999,771974.40595990,2395,3.59293000,240623.50591780,0
1729989000000,66995.98000000,67006.00000000,66893.70000000,66938.25000000,8.43658000,1729990799999,564814.28532930,903,2.99904000,200794.09985280,0
1729990800000,66938.25000000,66939.98000000,66856.36000000,66904.06000000,8.29363000,1729992599999,554758.00113510,1313,3.24383000,216969.02891130,0
1729992600000,66911.04000000,67046.56000000,66880.00000000,66995.13000000,11.40983000,1729994399999,764063.52734140,844,7.41184000,496354.71323480,0
1729994400000,66995.12000000,67032.68000000,66954.52000000,66954.52000000,5.77913000,1729996199999,387153.37388430,531,2.36513000,158437.88256630,0
1729996200000,66954.51000000,66998.00000000,66947.77000000,66968.45000000,5.18746000,1729997999999,347381.06585200,572,3.26649000,218731.96522130,0
1729998000000,66976.00000000,67106.30000000,66917.08000000,67106.30000000,6.54464000,1729999799999,438626.12694770,580,3.69970000,247995.72441440,0
1729999800000,67113.55000000,67227.58000000,67072.69000000,67204.25000000,16.30021000,1730001599999,1094539.23357820,1130,9.26971000,622378.80591050,0
1730001600000,67204.99000000,67228.84000000,67132.41000000,67152.07000000,14.79614000,1730003399999,993871.05616050,1132,6.01630000,404092.94269100,0
1730003400000,67153.48000000,67153.48000000,67037.19000000,67071.04000000,11.73253000,1730005199999,787126.98683320,1890,3.92809000,263522.73594310,0
1730005200000,67071.05000000,67122.74000000,67059.26000000,67109.05000000,8.40215000,1730006999999,563776.61243030,1036,2.66651000,178888.79976030,0
1730007000000,67109.05000000,67135.98000000,67064.01000000,67104.52000000,6.91586000,1730008799999,464095.15584440,782,3.09459000,207654.99075160,0
1730008800000,67104.52000000,67104.53000000,67048.50000000,67067.27000000,5.62741000,1730010599999,377456.12683790,597,2.62934000,176347.06201800,0
1730010600000,67067.26000000,67107.19000000,67042.02000000,67107.18000000,8.44597000,1730012399999,566430.54042510,898,4.53555000,304170.08098220,0
1730012400000,67107.18000000,67154.31000000,67095.70000000,67110.02000000,9.32636000,1730014199999,625951.39453120,1006,2.62655000,176270.31661610,0
1730014200000,67110.02000000,67139.99000000,67099.66000000,67117.99000000,7.41178000,1730015999999,497467.94422360,793,3.58187000,240395.35797470,0
1730016000000,67118.00000000,67184.87000000,67117.99000000,67129.07000000,11.69481000,1730017799999,785321.62688700,1567,7.13838000,479312.87176310,0
1730017800000,67129.06000000,67147.99000000,67082.94000000,67136.20000000,6.36428000,1730019599999,427135.05805650,1404,3.07358000,206272.83814610,0
1730019600000,67132.65000000,67132.65000000,67051.14000000,67070.02000000,15.16908000,1730021399999,1017642.55132550,2826,7.10840000,476869.57912280,0
1730021400000,67070.01000000,67077.05000000,67027.10000000,67069.46000000,14.00044000,1730023199999,938722.59203180,4162,8.12349000,544678.93053560,0
1730023200000,67069.46000000,67121.99000000,67013.35000000,67044.01000000,13.25389000,1730024999999,888846.63433880,1218,7.69453000,515999.62754110,0
1730025000000,67044.01000000,67064.00000000,66993.98000000,67010.27000000,10.07507000,1730026799999,675205.88012070,1272,2.91710000,195490.75135940,0
1730026800000,67010.27000000,67073.99000000,66964.68000000,67064.22000000,10.60225000,1730028599999,710554.56939120,2185,4.79809000,321567.41396780,0
1730028600000,67064.22000000,67107.72000000,67032.89000000,67041.98000000,18.87409000,1730030399999,1265659.91265960,4378,6.57685000,441046.20066690,0
1730030400000,67041.99000000,67336.72000000,67037.20000000,67291.27000000,37.05416000,1730032199999,2489806.77101250,5925,17.32477000,1164295.30027170,0
1730032200000,67293.99000000,67437.17000000,67266.04000000,67325.76000000,38.41307000,1730033999999,2586980.25030790,6056,17.98071000,1210917.82785510,0
1730034000000,67325.76000000,67690.00000000,67318.42000000,67590.00000000,61.40056000,1730035799999,4146355.59619610,5635,33.59249000,2267855.12650700,0
1730035800000,67591.01000000,67644.44000000,67508.40000000,67547.99000000,44.33116000,1730037599999,2996185.29699580,6917,19.74809000,1334758.95274040,0
1730037600000,67547.44000000,67669.06000000,67532.23000000,67604.02000000,24.50894000,1730039399999,1656755.37042730,3807,13.26191000,896518.93906250,0
1730039400000,67602.02000000,67680.00000000,67568.51000000,67626.93000000,24.35125000,1730041199999,1646747.89322410,1569,13.37730000,904522.94830280,0
1730041200000,67626.93000000,67769.22000000,67620.00000000,67647.99000000,21.24265000,1730042999999,1438064.49812370,1846,10.82641000,732834.52608740,0
1730043000000,67647.99000000,67784.00000000,67619.53000000,67712.95000000,15.76326000,1730044799999,1067383.10423020,1314,7.70979000,522081.36745690,0
1730044800000,67716.86000000,67800.41000000,67594.87000000,67619.99000000,31.86212000,1730046599999,2157261.96094700,2272,12.19455000,825641.28503850,0
1730046600000,67619.98000000,67766.00000000,67588.01000000,67753.92000000,28.77196000,1730048399999,1946714.88988130,11574,15.42320000,1043647.12060120,0
1730048400000,67758.00000000,67767.99000000,67640.92000000,67683.99000000,21.56068000,1730050199999,1459779.62633440,5319,10.62260000,719233.58154780,0
1730050200000,67684.00000000,67917.21000000,67666.01000000,67685.52000000,38.05599000,1730051999999,2579832.54953840,5311,17.45306000,1183139.32087480,0
1730052000000,67685.53000000,67697.03000000,67543.83000000,67621.61000000,24.39216000,1730053799999,1649190.49529880,5404,11.64854000,787567.89728260,0
1730053800000,67612.01000000,67648.60000000,67469.95000000,67485.42000000,18.58906000,1730055599999,1255867.48169960,1524,6.62451000,447655.69827980,0
1730055600000,67485.42000000,67738.10000000,67477.97000000,67716.02000000,30.01499000,1730057399999,2028855.84581390,3420,23.32196000,1576520.32467970,0
